organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County, 360 , 432 , 368 , 417 , 338 , 247 , 220 , 185 , 330 , 566 , 758 , 693 
Bomet County, 513 , 260 , 255 , 147 , 219 , 118 , 114 , 70 , 174 , 45 , 21 , 30 
Bungoma County, 434 , 473 , 513 , 318 , 221 , 29 , 80 , 111 , 6 , 76 , 82 , 26 
Busia County, 511 , 432 , 444 , 266 , 157 , 183 , 78 , 113 , 81 , 227 , 246 , 180 
Elgeyo Marakwet County, 122 , 95 , 72 , 49 , 76 , 29 , 29 , 23 , 45 , 12 , 3 , 39 
Embu County, 168 , 259 , 118 , 70 , 97 , 94 , 33 , 9 , 54 , 10 , 10 ,
Garissa County, 14 , 22 , 11 , 1 , 6 , 18 , 12 , 19 , 16 , 11 , 4 , 7 
Homa Bay County," 2,060 ", 649 , 354 , 529 , 600 , 403 , 394 , 335 , 331 , 457 , 242 , 246 
Isiolo County, 141 , 299 , 133 , 87 , 46 , 146 , 194 , 232 , 168 , 90 , 203 , 296 
Kajiado County, 202 , 220 , 187 , 305 , 175 , 104 , 119 , 38 , 73 , 111 , 53 , 98 
Kakamega County, 476 , 250 , 176 , 179 , 235 , 199 , 183 , 200 , 226 , 297 , 231 , 172 
Kericho County, 235 , 387 , 300 , 257 , 300 , 224 , 143 , 183 , 96 , 273 , 108 , 42 
Kiambu County, 262 , 308 , 268 , 196 , 198 , 146 , 317 , 268 , 368 , 151 , 107 , 67 
Kilifi County, 386 , 173 , 166 , 838 , 255 , 149 , 84 , 115 , 98 , 102 , 76 , 86 
Kirinyaga County, 3 , 12 , 51 , 26 , 28 , 27 , 41 , 31 , 3 , 2 , 18 , 3 
Kisii County, 760 , 705 , 412 , 553 , 691 , 773 , 508 , 377 , 363 , 232 , 435 , 326 
Kisumu County, 290 , 369 , 396 , 187 , 399 , 298 , 213 , 230 , 159 , 156 , 83 , 91 
Kitui County, 338 , 241 , 206 , 81 , 85 , 97 , 66 , 97 , 110 , 64 , 73 , 64 
Kwale County, 310 , 263 , 453 , 292 , 184 , 215 , 157 , 121 , 376 , 230 , 257 , 258 
Laikipia County, 321 , 261 , 234 , 321 , 237 , 190 , 251 , 210 , 122 , 125 , 157 , 129 
Lamu County, 26 , 11 , 7 , 10 , 1 , 2 , 1 , 7 , 6 , 7 , 13 , 42 
Machakos County, 71 , 69 , 75 , 123 , 258 , 73 , 50 , 182 , 97 , 117 , 134 , 22 
Makueni County, 53 , 27 , 6 , 12 , 28 , 6 , 23 , 18 , 19 , 21 , 19 , 12 
Mandera County, 70 , 8 , 12 , 18 , 4 , 3 , 10 , 2 , 2 , 3 , 1 , 1 
Marsabit County, 17 , 22 , 36 , 27 , 44 , 57 , 39 , 46 , 54 , 29 , 26 , 8 
Meru County, 314 , 341 , 812 , 348 , 620 , 263 , 72 , 150 , 305 , 106 , 176 , 83 
Migori County, 909 ," 1,021 ", 782 ," 1,030 "," 1,199 ", 771 , 672 , 787 ," 1,022 ", 739 , 738 , 566 
Mombasa County, 556 , 423 , 421 , 192 , 289 , 121 , 103 , 31 , 30 , 47 , 31 , 32 
Muranga County, 96 , 162 , 97 , 111 , 107 , 137 , 66 , 50 , 59 , 550 , 738 , 655 
Nairobi County, 616 , 748 ," 1,493 "," 1,283 "," 1,249 "," 1,383 "," 1,098 ", 634 , 703 , 507 , 604 , 466 
Nakuru County, 905 , 550 , 918 , 859 , 629 , 454 , 567 , 539 , 721 , 582 , 963 , 469 
Nandi County, 438 , 243 , 227 , 109 , 91 , 59 , 68 , 118 , 391 , 503 , 587 , 426 
Narok County, 173 , 114 , 390 , 877 ," 1,102 "," 1,035 ", 695 , 680 ," 1,009 "," 1,315 "," 1,490 ", 572 
Nyamira County, 469 , 315 , 356 , 289 , 372 , 366 , 183 , 383 , 263 , 272 , 295 , 336 
Nyandarua County, 72 , 125 , 77 , 71 , 41 , 8 , 18 , 13 , 11 , 6 , 25 , 60 
Nyeri County, 24 , 15 , 53 , 22 , 8 , 35 , 28 , 27 , 133 , 54 , 43 , 30 
Samburu County, 71 , 89 , 114 , 53 , 45 , 26 , 23 , 101 , 152 , 297 , 325 , 409 
Siaya County, 238 , 243 , 135 , 202 , 100 , 79 , 63 , 19 , 29 , 42 , 74 , 20 
Taita Taveta County, 9 , 12 , 99 , 28 , 7 , 4 , 4 , 3 , 19 ,, 28 , 1 
Tana River County, 101 , 73 , 14 , 66 , 108 , 47 , 77 , 77 , 42 , 11 , 6 , 7 
Tharaka Nithi County, 13 , 75 , 145 , 99 , 208 , 92 , 89 , 65 , 80 , 63 , 46 , 20 
Trans Nzoia County, 601 , 608 , 342 , 310 , 224 , 98 , 141 , 78 , 56 , 78 , 68 , 46 
Turkana County, 146 , 216 , 293 , 101 , 109 , 111 , 175 , 108 , 64 , 88 , 33 , 39 
Uasin Gishu County, 368 , 340 , 311 , 295 , 88 , 91 , 244 , 14 , 60 , 57 , 89 , 39 
Vihiga County, 241 , 217 , 84 , 89 , 80 , 103 , 69 , 84 , 512 , 883 , 877 , 738 
Wajir County, 7 , 8 , 11 , 5 , 4 , 24 , 2 , 4 , 2 , 12 , 1 , 8 
West Pokot County, 228 , 245 , 146 , 140 , 152 , 177 , 106 , 112 , 251 , 106 , 55 , 85 
