organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County, 776 , 987 ," 1,133 ", 808 ," 1,252 ", 930 , 799 , 819 ," 1,336 "," 1,415 "," 1,699 "," 1,283 "
Bomet County," 1,428 "," 1,554 "," 1,218 "," 1,277 "," 1,966 "," 1,630 "," 1,639 "," 1,159 "," 1,575 "," 1,005 ", 995 ," 1,086 "
Bungoma County," 3,304 "," 3,909 "," 4,000 "," 4,155 "," 21,818 "," 3,545 "," 4,549 "," 6,012 "," 7,136 "," 6,891 "," 6,679 "," 5,629 "
Busia County," 2,143 "," 1,665 "," 1,789 "," 1,152 "," 1,404 "," 1,519 "," 1,600 "," 1,428 "," 1,433 ", 976 ," 1,216 "," 1,348 "
Elgeyo Marakwet County," 1,376 "," 1,142 "," 1,192 "," 1,079 "," 1,297 "," 1,032 "," 1,152 "," 1,455 ", 817 , 912 ," 1,045 "," 1,011 "
Embu County," 3,646 "," 5,188 "," 3,415 "," 1,715 "," 4,714 "," 3,956 "," 3,119 "," 4,438 "," 4,266 "," 7,745 "," 4,543 "," 2,141 "
Garissa County, 660 , 967 , 516 , 931 , 526 , 462 , 634 , 444 , 444 , 808 , 613 , 426 
Homa Bay County," 2,605 "," 1,908 "," 1,485 "," 1,886 "," 1,878 "," 1,961 "," 2,142 "," 1,666 "," 2,886 "," 2,319 "," 1,988 "," 2,811 "
Isiolo County, 397 , 919 , 456 , 494 , 247 , 593 , 268 , 458 , 631 ," 1,092 ", 426 , 430 
Kajiado County," 3,116 "," 2,821 "," 3,502 "," 3,130 "," 3,231 "," 2,095 "," 2,586 "," 2,264 "," 2,782 "," 2,651 "," 3,178 "," 2,493 "
Kakamega County," 7,687 "," 6,751 "," 6,698 "," 5,849 "," 8,638 "," 4,496 "," 4,172 "," 3,712 "," 4,719 "," 4,107 "," 5,063 "," 4,929 "
Kericho County," 1,604 "," 1,765 "," 1,673 "," 1,359 ", 897 ," 1,087 "," 1,825 "," 1,546 "," 2,484 "," 1,623 "," 2,508 "," 1,953 "
Kiambu County," 9,002 "," 10,475 "," 8,234 "," 8,708 "," 9,739 "," 8,665 "," 9,345 "," 8,936 "," 9,486 "," 9,442 "," 8,982 "," 12,547 "
Kilifi County," 4,626 "," 3,496 "," 6,309 "," 4,706 "," 5,398 "," 3,820 "," 4,053 "," 5,452 "," 5,977 "," 6,412 "," 5,074 "," 5,140 "
Kirinyaga County," 4,479 "," 4,350 "," 7,795 "," 6,947 "," 6,219 "," 6,133 "," 6,289 "," 5,628 "," 5,567 "," 6,413 "," 7,325 "," 7,022 "
Kisii County," 1,187 "," 1,054 "," 1,311 "," 2,129 "," 1,195 ", 605 ," 1,225 ", 843 ," 1,184 ", 878 , 929 , 808 
Kisumu County," 3,084 "," 3,255 "," 2,694 "," 2,275 "," 3,829 "," 2,907 "," 3,386 "," 3,162 "," 3,530 "," 2,270 "," 2,883 "," 3,003 "
