organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County, 15 , 176 , 45 , 13 , 25 , 19 , 36 , 25 , 17 , 234 , 41 , 41 
Bomet County, 20 , 26 , 43 , 14 , 342 , 18 , 14 , 22 , 53 , 15 , 44 , 46 
Bungoma County, 93 , 91 , 118 , 118 , 62 , 63 , 71 , 99 , 213 , 87 , 112 , 150 
Busia County, 73 , 81 , 40 , 31 , 37 , 23 , 41 , 37 , 56 , 43 , 55 , 90 
Elgeyo Marakwet County, 7 , 309 , 13 , 541 , 53 ,, 20 , 19 , 603 , 8 , 14 , 5 
Embu County, 88 , 169 , 136 , 41 , 138 , 74 , 99 , 200 , 165 , 114 , 94 , 54 
Garissa County, 3 ,, 6 , 12 , 215 , 14 , 6 , 11 , 89 , 46 , 11 , 15 
Homa Bay County, 120 , 71 , 134 , 132 , 126 , 78 , 68 , 71 ," 1,557 "," 1,587 ", 73 , 95 
Isiolo County,, 7 , 4 , 2 , 2 , 10 , 6 , 6 , 10 , 5 , 15 , 10 
Kajiado County, 207 , 186 , 195 , 300 , 271 , 158 , 249 , 235 , 207 , 132 , 172 , 688 
Kakamega County," 1,522 "," 1,338 ", 165 , 543 , 532 , 163 , 159 , 157 , 485 , 134 , 138 , 161 
Kericho County, 49 , 36 , 64 , 56 , 53 , 23 , 112 , 33 , 81 , 47 , 66 , 37 
Kiambu County, 782 , 664 , 793 ," 1,457 ", 729 , 626 , 556 , 721 , 827 , 719 , 650 , 567 
Kilifi County, 200 , 129 , 177 , 145 , 498 , 89 , 107 , 114 , 134 , 67 , 127 , 107 
Kirinyaga County, 184 , 147 , 175 , 235 , 162 , 136 , 154 , 142 , 208 , 182 , 171 , 184 
Kisii County, 99 , 107 ," 1,532 ", 120 , 262 , 158 , 259 , 111 , 167 , 752 , 141 , 236 
Kisumu County, 166 , 113 , 155 , 546 , 136 , 160 , 114 , 189 , 149 , 482 , 187 , 187 
Kitui County, 65 , 66 , 41 , 26 , 46 , 50 , 102 , 48 , 60 , 53 , 90 , 39 
Kwale County, 12 , 21 , 12 , 15 , 14 , 10 , 12 , 9 , 16 , 23 , 25 , 32 
Laikipia County, 244 , 111 , 120 , 74 , 197 , 58 , 88 , 984 , 67 , 28 , 382 , 198 
Lamu County, 15 , 9 , 10 , 11 , 13 , 9 , 5 , 9 , 1 , 11 , 4 , 4 
Machakos County, 113 , 92 , 120 , 129 , 837 , 91 , 95 , 87 , 86 , 56 , 110 , 252 
Makueni County, 111 , 93 , 88 , 109 , 101 , 52 , 93 , 76 , 78 , 60 , 98 , 111 
Mandera County,, 87 , 5 , 5 ,,,,,, 4 ,,
Marsabit County, 103 , 4 , 3 ,, 3 , 6 ,,, 202 , 1 ,, 1 
Meru County, 157 , 91 , 74 , 109 , 200 , 116 , 61 , 79 , 161 , 100 , 160 , 55 
Migori County, 314 , 393 , 280 , 318 , 452 , 300 , 269 , 242 , 242 , 239 , 305 , 367 
Mombasa County, 309 , 394 , 306 , 265 , 322 , 240 , 235 , 257 , 261 , 167 , 255 , 228 
Muranga County, 180 , 104 , 161 , 99 , 155 , 72 , 127 , 94 , 183 , 139 , 151 , 167 
Nairobi County," 1,318 "," 1,401 "," 1,460 "," 1,385 ", 960 ," 1,288 "," 1,391 "," 1,499 "," 1,528 "," 1,389 "," 1,465 "," 1,436 "
Nakuru County, 892 , 798 , 785 ," 1,081 "," 1,096 ", 656 , 646 , 727 , 661 , 680 , 585 , 997 
Nandi County, 126 , 73 , 70 , 54 , 63 , 45 , 49 , 99 , 65 , 33 , 56 ," 4,022 "
Narok County, 33 , 63 , 17 , 31 , 59 , 56 , 38 , 31 , 49 , 29 , 47 , 39 
Nyamira County," 2,548 ", 78 , 178 , 65 , 81 , 121 , 108 , 135 , 795 , 101 , 235 , 67 
Nyandarua County, 73 , 164 , 126 , 874 , 157 , 196 , 139 , 184 , 209 , 174 , 178 , 180 
Nyeri County, 234 , 236 , 296 , 209 , 211 , 299 , 233 , 151 , 202 , 681 , 172 , 141 
Samburu County, 4 , 7 , 7 , 3 , 2 ,, 61 , 2 , 7 , 8 , 8 , 11 
Siaya County, 84 , 378 , 80 , 97 , 63 , 53 , 69 , 99 , 86 , 60 , 74 , 65 
Taita Taveta County, 64 , 34 , 33 , 93 , 27 , 36 , 38 , 45 , 76 , 17 , 41 , 34 
Tana River County, 3 , 41 , 20 , 7 , 25 , 2 , 168 , 11 , 19 , 15 , 19 , 166 
Tharaka Nithi County, 58 , 33 , 57 , 38 , 610 , 201 , 24 , 96 , 25 , 54 , 59 , 44 
Trans Nzoia County, 56 , 125 , 202 , 111 , 125 , 127 , 157 , 161 , 174 , 87 , 135 , 214 
Turkana County, 2 , 3 , 5 , 3 , 2 , 4 , 5 , 66 , 8 , 2 , 7 , 14 
Uasin Gishu County, 254 , 262 , 324 , 274 , 494 , 300 , 212 , 310 , 311 , 208 , 212 , 319 
Vihiga County," 2,418 ", 42 , 32 , 31 , 44 , 73 , 52 , 73 , 94 , 25 , 83 , 80 
Wajir County,,, 200 ,,, 51 ,,,,,,
West Pokot County, 13 , 42 , 22 , 182 , 12 , 7 , 12 , 7 , 42 , 10 , 273 , 15 
