organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County," 1,691 "," 1,829 "," 3,843 "," 2,307 "," 2,438 "," 2,054 "," 2,153 "," 1,740 "," 2,009 "," 1,594 "," 1,725 "," 1,987 "
Bomet County," 6,323 "," 5,301 "," 5,209 "," 9,254 "," 8,433 "," 8,062 "," 8,191 "," 7,465 "," 7,858 "," 6,988 "," 6,558 "," 6,243 "
Bungoma County," 6,300 "," 10,708 "," 7,604 "," 8,822 "," 12,177 "," 10,788 "," 12,352 "," 10,368 "," 9,804 "," 6,154 "," 7,016 "," 11,852 "
Busia County, 352 ," 1,040 "," 2,596 "," 2,399 "," 2,359 "," 1,846 ", 935 , 418 , 353 , 422 ," 2,302 "," 2,470 "
Elgeyo Marakwet County, 961 , 939 ," 2,019 "," 1,574 "," 2,309 "," 3,178 "," 2,683 "," 2,290 "," 2,626 "," 1,967 "," 2,193 "," 2,839 "
Embu County," 5,050 "," 5,482 "," 4,774 "," 2,567 "," 4,775 "," 4,389 "," 3,753 "," 3,579 "," 2,591 "," 1,768 "," 1,595 "," 1,137 "
Garissa County, 778 , 891 , 746 , 711 , 752 , 683 , 815 , 729 , 643 , 602 , 714 , 589 
Homa Bay County," 3,557 "," 6,828 "," 5,921 "," 6,695 "," 7,901 "," 6,506 "," 6,924 "," 5,932 "," 7,200 "," 5,936 "," 4,958 "," 6,598 "
Isiolo County, 171 , 124 , 588 , 509 , 551 , 582 , 520 , 376 , 464 , 235 , 354 , 246 
Kajiado County," 3,260 "," 5,585 "," 5,570 "," 4,638 "," 4,625 "," 4,405 "," 3,389 "," 4,233 "," 5,337 "," 3,757 "," 4,766 "," 4,867 "
Kakamega County," 5,189 "," 4,111 "," 7,116 "," 10,284 "," 11,261 "," 10,723 "," 11,871 "," 9,434 "," 12,429 "," 12,159 "," 12,524 "," 12,871 "
Kericho County," 3,259 "," 3,299 "," 2,199 "," 1,921 "," 1,936 "," 1,564 "," 1,226 ", 911 , 770 , 565 , 373 , 252 
Kiambu County," 6,193 "," 5,052 "," 7,020 "," 6,976 "," 6,966 "," 6,877 "," 6,238 "," 5,724 "," 7,379 "," 7,502 "," 8,527 "," 9,913 "
Kilifi County," 8,873 "," 9,417 "," 10,344 "," 9,998 "," 10,373 "," 10,047 "," 9,134 "," 7,814 "," 6,752 "," 4,492 "," 6,288 "," 9,132 "
Kirinyaga County," 1,303 ", 878 , 814 , 901 ," 2,756 "," 3,063 "," 3,037 "," 3,733 "," 3,670 "," 3,745 "," 4,602 "," 4,413 "
Kisii County," 1,069 ", 666 , 515 , 324 , 460 , 375 , 257 , 277 , 322 , 231 , 374 , 336 
Kisumu County," 6,755 "," 6,042 "," 6,830 "," 5,929 "," 7,079 "," 6,691 "," 6,338 "," 5,809 "," 7,733 "," 5,507 "," 5,267 "," 5,471 "
Kitui County," 3,658 "," 3,999 "," 5,608 "," 9,237 "," 8,845 "," 8,570 "," 9,808 "," 8,786 "," 9,027 "," 8,079 "," 7,904 "," 7,982 "
Kwale County," 5,765 "," 6,951 "," 5,016 "," 6,302 "," 7,666 "," 6,009 "," 6,546 "," 3,544 "," 5,659 "," 4,894 "," 5,218 "," 5,623 "
Laikipia County," 1,703 "," 1,507 "," 2,266 "," 2,883 "," 3,512 "," 2,340 "," 2,553 "," 2,714 "," 3,673 "," 2,984 "," 4,603 "," 3,422 "
Lamu County, 691 , 778 , 640 , 698 , 831 , 509 , 701 , 595 , 441 , 585 ," 1,313 "," 1,070 "
Machakos County," 9,445 "," 11,667 "," 10,435 "," 8,276 "," 16,856 "," 12,111 "," 9,338 "," 6,887 "," 5,085 "," 8,385 "," 9,891 "," 8,170 "
Makueni County," 2,680 "," 4,025 "," 8,395 "," 8,207 "," 8,079 "," 7,790 "," 9,113 "," 6,876 "," 6,729 "," 5,754 "," 6,944 "," 9,762 "
Mandera County, 103 , 78 , 109 , 151 , 190 , 289 , 62 , 126 , 87 , 46 , 146 , 150 
Marsabit County, 523 , 511 , 537 , 476 , 506 , 539 , 457 , 380 , 365 , 440 , 302 , 466 
Meru County," 2,775 "," 2,053 "," 1,994 "," 6,344 "," 5,213 "," 5,989 "," 6,497 "," 5,545 "," 5,664 "," 4,270 "," 5,243 "," 4,026 "
Migori County," 1,450 "," 3,689 "," 5,440 "," 5,364 "," 6,237 "," 6,161 "," 6,439 "," 6,630 "," 6,818 "," 6,049 "," 6,562 "," 7,308 "
Mombasa County," 4,913 "," 4,539 "," 4,580 "," 4,915 "," 4,808 "," 5,170 "," 5,161 "," 4,996 "," 4,194 "," 2,733 "," 2,141 "," 4,319 "
Muranga County," 2,908 "," 2,289 "," 3,500 "," 3,152 "," 2,186 "," 2,033 "," 1,890 "," 1,567 "," 1,635 "," 1,060 "," 1,161 ", 894 
Nairobi County," 4,014 "," 3,634 "," 12,664 "," 9,746 "," 6,855 "," 7,192 "," 5,644 "," 4,208 "," 5,026 "," 10,532 "," 8,953 "," 8,053 "
Nakuru County," 6,604 "," 6,910 "," 13,487 "," 18,375 "," 12,524 "," 12,670 "," 11,949 "," 8,919 "," 9,006 "," 7,004 "," 7,728 "," 11,344 "
Nandi County," 4,319 "," 3,969 "," 2,601 "," 3,913 "," 8,077 "," 6,071 "," 6,119 "," 6,326 "," 7,477 "," 7,294 "," 10,710 "," 7,875 "
Narok County," 4,763 "," 5,946 "," 4,721 "," 3,073 "," 2,650 "," 1,396 "," 1,396 ", 811 ," 1,138 ", 612 ," 1,111 "," 2,831 "
Nyamira County," 7,828 "," 8,419 "," 7,782 "," 7,564 "," 7,336 "," 6,930 "," 5,954 "," 6,029 "," 9,440 "," 9,507 "," 8,864 "," 8,871 "
Nyandarua County," 1,747 "," 1,800 "," 3,009 "," 2,540 "," 3,343 "," 3,472 "," 3,232 "," 2,386 "," 2,439 "," 1,738 "," 1,842 "," 3,004 "
Nyeri County," 3,161 "," 2,892 "," 3,546 "," 4,315 "," 3,644 "," 4,265 "," 4,630 "," 3,109 "," 3,909 "," 4,000 "," 3,653 "," 3,375 "
Samburu County," 1,473 "," 1,192 "," 1,461 "," 1,791 "," 1,560 "," 1,300 "," 1,521 "," 1,120 "," 1,141 ", 952 , 766 , 629 
Siaya County, 884 , 628 ," 3,451 "," 4,625 "," 4,940 "," 5,482 "," 5,808 "," 4,931 "," 6,029 "," 5,163 "," 5,079 "," 4,486 "
Taita Taveta County," 2,436 "," 2,376 "," 2,512 "," 2,780 "," 2,801 "," 2,908 "," 3,005 "," 2,937 "," 3,015 "," 2,800 "," 3,117 "," 2,694 "
Tana River County," 1,019 ", 952 , 995 , 884 ," 1,107 ", 895 ," 1,157 ", 720 , 857 ," 1,028 "," 1,202 "," 1,445 "
Tharaka Nithi County," 3,279 "," 5,258 "," 4,091 "," 3,588 "," 3,180 "," 2,918 "," 2,615 "," 2,134 "," 2,010 "," 3,803 "," 4,515 "," 4,311 "
Trans Nzoia County," 4,802 "," 4,939 "," 5,915 "," 5,379 "," 6,248 "," 6,336 "," 6,318 "," 5,712 "," 5,974 "," 5,692 "," 6,268 "," 6,684 "
Turkana County," 1,185 "," 1,660 "," 1,288 "," 1,261 "," 1,469 "," 1,300 "," 1,239 "," 1,665 "," 1,439 "," 1,168 "," 1,399 "," 1,344 "
Uasin Gishu County," 3,776 "," 2,443 "," 3,468 "," 7,110 "," 7,291 "," 5,670 "," 5,962 "," 4,927 "," 7,414 "," 6,637 "," 6,851 "," 7,831 "
Vihiga County," 1,303 "," 2,526 "," 2,814 "," 2,510 "," 3,017 "," 2,930 "," 2,625 "," 2,485 "," 2,669 "," 2,039 "," 3,040 "," 3,069 "
Wajir County, 239 , 341 , 341 , 608 , 270 , 391 , 404 , 246 , 381 , 258 , 221 , 284 
West Pokot County," 1,610 "," 1,294 "," 1,735 "," 1,440 "," 1,361 "," 1,386 "," 1,205 ", 856 ," 1,326 ", 995 ," 1,381 "," 1,461 "
