organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County, 34 , 23 , 35 , 14 , 36 , 7 , 3 ,, 27 , 15 , 12 , 1 
Bomet County, 6 , 9 , 13 , 2 ,, 42 , 40 ,,,, 30 , 3 
Bungoma County,, 78 , 9 , 17 , 17 , 13 , 4 ,,, 18 , 31 ,
Busia County,, 57 ,,, 30 , 14 , 13 , 18 ,, 123 , 58 , 1 
Elgeyo Marakwet County,,,, 3 , 1 ,, 1 ,,, 1 ,, 7 
Embu County, 19 ,,, 6 , 6 , 3 , 18 , 18 , 7 ,, 3 , 47 
Garissa County, 2 , 6 ,, 1 , 2 ,,, 7 ,, 58 , 12 ,
Homa Bay County,, 19 , 4 , 43 , 17 , 21 , 27 , 10 , 6 , 34 , 3 , 13 
Isiolo County,,,, 20 ,,,,,,,,
Kajiado County, 2 , 5 , 7 , 22 , 32 , 4 , 9 , 50 , 120 , 20 , 19 , 21 
Kakamega County, 8 , 70 , 22 ,, 41 , 177 , 312 , 13 , 60 , 90 , 11 ,
Kericho County, 11 , 5 ,, 10 , 13 , 16 ,,,,,, 28 
Kiambu County, 23 , 61 ,, 59 , 71 , 60 , 25 , 40 , 118 , 56 , 93 , 135 
Kilifi County, 86 ,, 13 , 46 , 3 , 1 , 1 ,, 16 , 57 , 14 ,
Kirinyaga County, 306 , 199 , 192 , 138 , 376 , 610 , 555 ,,,,,
Kisii County, 283 , 10 , 40 , 36 , 31 , 22 , 41 , 27 ,,,,
Kisumu County, 4 , 2 , 3 , 2 , 48 , 25 , 82 , 7 ,, 141 ,,
Kitui County, 26 , 7 , 43 , 46 , 48 , 82 , 42 ,, 30 ,, 4 ,
Kwale County, 39 ," 1,298 "," 1,132 ",,, 4 , 216 , 1 , 107 , 1 , 1 ,
Laikipia County, 20 ,,,, 1 ,,,, 1 ,, 21 , 4 
Lamu County,,,,,,,,,, 3 ,,
Machakos County, 42 , 9 , 1 , 10 , 1 , 2 ,, 370 , 471 , 7 ,, 8 
Makueni County, 5 , 26 , 32 , 28 , 25 , 34 ,,, 24 , 2 ,, 5 
Mandera County, 9 , 10 ,,,, 3 , 4 ,,,,,
Marsabit County,, 4 ,,,, 1 , 4 ,,, 1 , 1 ,
Meru County, 27 , 33 , 78 , 1 , 118 , 120 , 113 , 53 , 101 , 5 , 69 , 27 
Migori County,, 41 , 35 , 85 , 57 ,, 96 ,, 7 ,, 7 ,
Mombasa County, 9 ,, 7 , 20 , 36 , 33 , 37 , 9 , 87 , 207 , 292 , 151 
Muranga County,, 36 ,,,, 2 , 55 , 54 , 69 , 59 , 47 , 27 
Nairobi County, 143 , 128 , 204 , 124 , 977 , 776 , 815 , 262 , 594 , 278 , 292 , 190 
Nakuru County, 502 , 27 , 108 , 117 , 101 , 91 , 262 , 44 , 45 , 94 , 253 , 265 
Nandi County,,, 16 ,, 7 , 97 ,, 26 , 45 ,,, 6 
Narok County, 15 , 45 ,,, 8 , 35 , 11 , 21 ,,, 1 ,
Nyamira County, 47 , 32 , 149 , 58 , 40 , 16 , 81 , 128 , 246 ,, 14 ,
Nyandarua County,, 8 ,,, 11 , 16 ,,,,, 31 , 14 
Nyeri County, 20 , 1 , 10 , 22 , 35 , 5 , 12 , 11 , 23 , 9 , 28 , 16 
Samburu County, 11 , 23 ,, 3 , 2 ,, 1 , 3 ,, 5 , 52 , 103 
Siaya County,, 202 , 245 , 46 , 40 , 24 , 122 , 43 , 177 , 86 , 13 ,
Taita Taveta County,,,,,,,,,,,,
Tana River County,,, 50 ,,, 6 , 1 , 6 , 34 ,,,
Tharaka Nithi County,, 13 , 90 , 43 , 55 , 2 ,, 9 ,, 2 , 25 ,
Trans Nzoia County, 32 ,,,,,,,,,, 5 ,
Turkana County, 2 , 12 , 1 , 9 , 9 , 28 , 22 , 2 , 9 , 5 , 7 , 1 
Uasin Gishu County, 73 , 86 , 103 , 36 , 3 , 38 , 92 , 21 , 160 , 90 , 6 , 36 
Vihiga County, 17 ,, 17 ,, 8 , 15 , 3 ,, 2 , 6 , 62 ,
Wajir County, 1 , 10 ,,, 125 ,, 1 ,, 5 , 2 , 7 ,
West Pokot County, 3 ,, 12 , 6 , 6 , 5 ,,, 5 , 23 , 1 , 7 
