organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County, 18 , 59 , 21 , 56 , 571 , 19 , 4 , 758 , 41 , 33 , 43 , 96 
Bomet County, 3 , 2 , 2 , 1 , 1 ,, 8 ,,, 2 , 2 ,
Bungoma County, 24 , 45 , 29 , 37 , 41 , 43 , 17 , 12 , 29 , 20 , 29 , 21 
Busia County,,,,, 361 , 144 , 1 , 44 , 36 , 40 , 42 , 32 
Elgeyo Marakwet County, 413 , 114 , 62 , 192 , 639 , 78 , 61 , 359 , 79 , 44 , 53 , 180 
Embu County, 23 , 11 , 4 , 14 , 21 , 23 , 25 , 27 , 20 , 54 , 32 , 25 
Garissa County, 5 , 2 , 4 , 12 ,, 5 , 2 , 1 ,, 8 , 2 , 10 
Homa Bay County, 1 , 445 , 16 , 11 , 14 , 3 , 9 ," 1,044 ", 27 , 295 , 438 , 4 
Isiolo County, 9 , 10 , 3 , 2 ,, 3 , 2 , 7 , 2 , 2 , 5 ,
Kajiado County, 101 , 67 , 95 , 49 , 128 , 222 , 86 , 36 , 66 , 76 , 83 , 49 
Kakamega County, 52 , 69 , 32 , 71 , 560 , 329 , 63 , 28 ," 2,261 "," 1,175 ", 32 , 26 
Kericho County, 131 , 8 , 406 , 5 , 18 , 12 , 6 , 20 , 7 , 2 , 4 ,
Kiambu County, 189 , 424 , 253 , 391 , 332 , 575 , 366 , 525 , 451 , 383 , 747 , 356 
Kilifi County, 47 , 33 , 42 , 46 , 55 , 27 , 26 , 39 , 57 , 30 , 28 , 28 
Kirinyaga County, 12 , 51 , 22 , 21 , 16 , 47 , 26 , 11 , 47 , 38 , 12 , 19 
Kisii County, 609 , 44 , 46 , 15 , 40 , 250 , 19 ," 2,183 ", 66 , 43 , 31 , 95 
Kisumu County, 22 , 31 , 22 , 13 , 5 , 10 , 24 , 7 , 8 , 102 , 17 , 17 
Kitui County, 53 , 601 , 40 , 770 , 35 , 72 , 63 , 42 , 50 , 44 , 41 , 36 
Kwale County, 4 , 2 , 2 , 4 , 4 ,,,, 864 ,,, 1 
Laikipia County, 9 , 8 , 20 , 20 , 5 , 12 , 9 , 2 , 10 , 7 , 6 , 8 
Lamu County,,,,,,,,, 1 ,, 5 ,
Machakos County, 146 , 18 , 71 , 270 , 31 , 51 , 46 , 66 , 84 , 60 , 60 , 59 
Makueni County, 43 , 57 , 28 , 21 , 43 , 16 , 18 , 6 , 44 , 168 , 21 , 17 
Mandera County, 19 ,,,,,, 2 , 2 , 1 ,,,
Marsabit County, 11 , 101 , 2 , 1 , 1 , 4 , 4 , 6 , 11 , 13 ,, 5 
Meru County, 545 , 52 , 36 , 77 , 62 , 69 , 49 , 51 , 71 , 94 , 95 , 52 
Migori County, 54 , 44 , 45 , 44 , 49 , 51 , 41 , 38 , 19 , 43 , 76 , 65 
Mombasa County, 115 , 42 , 27 , 52 , 51 , 38 , 95 , 48 , 36 , 71 , 82 , 44 
Muranga County, 35 , 90 , 49 , 128 , 27 , 82 , 93 , 64 , 46 , 25 , 36 , 50 
Nairobi County, 645 , 225 , 289 , 342 , 536 , 291 , 435 , 442 , 205 , 279 , 214 , 324 
Nakuru County," 2,226 ", 682 , 474 ," 1,348 ", 912 ," 1,338 ", 362 ," 63,205 ", 318 , 316 , 417 , 311 
Nandi County, 73 , 62 , 40 , 72 , 19 , 55 , 16 , 55 , 517 , 51 , 13 , 8 
Narok County, 49 , 77 , 41 , 499 , 51 , 77 , 72 , 16 , 39 , 30 , 27 , 43 
Nyamira County, 209 , 211 , 10 , 16 , 16 , 10 , 7 ," 2,006 ", 22 , 173 , 22 , 115 
Nyandarua County, 19 , 19 , 19 , 20 , 13 , 16 , 71 , 41 , 46 , 16 , 671 , 19 
Nyeri County, 131 , 134 , 141 , 162 , 118 , 170 , 125 , 79 , 126 , 127 , 99 , 108 
Samburu County, 33 , 28 , 26 , 28 , 49 , 26 , 49 , 24 , 38 , 36 , 16 , 34 
Siaya County, 27 , 73 , 20 , 16 , 16 , 18 , 320 , 28 , 98 , 14 , 20 , 27 
Taita Taveta County, 31 , 35 , 29 , 48 , 40 , 53 , 39 , 33 , 37 , 21 , 183 , 11 
Tana River County,, 2 , 47 , 46 , 123 , 8 , 71 , 53 , 3 , 1 ,,
Tharaka Nithi County, 12 , 42 , 6 , 5 , 6 , 39 , 13 , 5 , 480 , 9 , 12 , 22 
Trans Nzoia County, 37 , 54 , 9 , 54 , 60 , 57 , 47 , 44 , 72 , 44 , 47 , 49 
Turkana County, 230 , 32 , 28 , 26 , 178 , 410 , 29 , 5 , 31 , 212 , 14 , 15 
Uasin Gishu County, 25 , 43 , 120 , 7 , 12 , 37 , 10 , 28 , 36 , 8 , 46 , 15 
Vihiga County, 6 , 975 , 15 , 14 , 7 , 12 , 2 , 4 , 7 , 3 , 14 , 12 
Wajir County, 2 ,, 2 ,,,,, 141 ,, 61 , 163 , 71 
West Pokot County," 4,979 ",,, 3 ,, 14 ,,,,,,
