organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County,," 1,140 "," 1,737 ", 438 , 1 , 3 , 200 ,,, 1 , 2 , 2 
Bomet County, 11 , 800 ,,, 5 , 4 , 20 , 2 ,,,,
Bungoma County,, 2 , 13 ,,, 2 , 2 , 1 ,,, 10 ,
Busia County,, 2 ,, 1 ,, 2 ,,, 7 , 8 , 94 , 4 
Elgeyo Marakwet County, 7 , 2 ,, 544 , 1 , 1 , 2 ,,, 146 ,,
Embu County, 36 , 4 , 147 , 21 , 59 , 1 , 1 , 5 , 3 ,, 6 , 2 
Garissa County,, 3 , 1 , 171 , 60 ,, 20 ,,,,, 1 
Homa Bay County, 3 , 10 ,, 6 , 296 , 1 ," 1,395 ", 32 , 228 , 244 ,, 105 
Isiolo County,,,,,,,,,,,,
Kajiado County," 1,353 "," 1,833 ", 461 , 1 , 3 , 243 ,, 61 ,,,, 8 
Kakamega County, 211 , 15 , 25 , 93 , 231 , 17 , 958 , 17 , 37 , 12 , 557 , 12 
Kericho County, 1 , 3 , 20 , 22 , 16 , 11 ,, 3 , 10 , 8 , 145 ,
Kiambu County, 185 , 74 , 60 , 65 , 27 , 2 , 266 , 64 , 252 , 31 ,, 11 
Kilifi County, 32 , 4 , 5 ," 1,440 ", 188 , 6 , 5 ,,,, 91 , 3 
Kirinyaga County, 5 ,, 12 ,, 12 , 1 , 57 ,, 1 , 23 , 2 ,
Kisii County, 706 , 52 , 79 , 41 , 21 , 20 , 4 , 109 , 81 ," 3,168 "," 2,721 ", 8 
Kisumu County, 10 , 17 ," 1,779 ", 183 , 40 , 143 , 50 , 24 , 28 , 13 , 12 , 7 
Kitui County,, 4 ,, 6 ,, 2 , 200 ,,,,, 21 
Kwale County,, 720 , 2 ,,, 289 ,,, 2 , 152 ,, 11 
Laikipia County," 14,400 ", 5 , 144 ,, 8 , 1 ,, 720 ," 7,202 ",,, 3 
Lamu County,,,,,,,,,,,,
Machakos County, 34 , 2 ,, 52 , 1 , 288 , 42 , 252 , 20 , 26 ,,
Makueni County, 3 ,, 2 , 13 , 1 ,, 1 , 2 ,, 3 , 3 , 1 
Mandera County, 5 ,,,,,,,,,,,
Marsabit County,,, 15 ,,,,,,,,,
Meru County,,, 104 ," 3,000 ", 1 , 1 , 14 , 4 , 7 , 17 , 6 ,
Migori County, 328 , 449 ," 3,382 ", 94 ," 1,317 ", 628 , 35 , 248 , 121 , 39 , 71 , 42 
Mombasa County, 2 ,, 4 , 1 , 10 , 2 , 2 ,, 2 , 5 ,,
Muranga County,, 81 , 5 , 110 , 7 , 2 ,, 2 ,, 12 , 6 ,
Nairobi County, 351 , 173 , 508 , 412 , 26 , 46 , 19 , 51 , 241 , 24 , 20 , 184 
Nakuru County, 839 , 51 , 553 ," 1,470 ", 474 , 86 , 200 ," 1,170 ", 41 , 35 , 3 , 15 
Nandi County, 3 ,,,,,, 42 , 10 ,,,,
Narok County,,,,, 3 ,,,, 9 ,,,
Nyamira County," 1,008 ", 2 , 2 ,, 177 , 5 , 9 , 79 , 49 , 413 , 3 ," 3,919 "
Nyandarua County, 48 , 4 , 3 , 8 , 17 , 10 , 97 , 7 , 70 , 13 , 298 , 500 
Nyeri County,, 9 , 8 , 22 , 4 , 4 , 6 , 8 , 4 , 42 , 5 , 5 
Samburu County,,,,,,,,,,,, 1 
Siaya County, 14 , 42 ,,, 2 ,, 2 , 14 ,,, 9 , 6 
Taita Taveta County, 2 , 4 , 5 ,, 1 , 144 ,,, 1 , 2 ,,
Tana River County, 100 , 6 , 2 , 7 ,, 3 , 2 , 1 ,,,, 146 
Tharaka Nithi County, 21 , 288 , 7 , 6 , 45 , 228 , 1 , 4 , 880 ,,,
Trans Nzoia County, 227 ,,,,, 2 ,, 8 ,, 3 ,,
Turkana County,,,,, 140 ,, 1 ,,, 1 , 52 , 18 
Uasin Gishu County, 8 , 174 , 21 ,,,,,,, 50 , 5 , 14 
Vihiga County, 4 , 1 , 1 , 15 , 5 ,, 2 ,,, 12 , 44 ,
Wajir County,,,,,,,,, 288 , 100 ,,
West Pokot County,, 900 ,,,,,,,, 6 , 10 , 37 
