organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County, 145 , 193 , 169 , 155 , 103 , 201 , 104 , 62 , 400 , 200 , 571 , 496 
Bomet County, 92 , 236 , 150 , 297 , 124 , 259 , 89 , 273 , 228 , 205 , 257 , 165 
Bungoma County, 638 , 509 , 643 , 307 , 594 , 390 , 349 , 619 , 390 , 338 , 497 , 786 
Busia County, 452 , 392 , 351 , 269 , 309 , 324 , 689 , 971 , 855 , 537 , 441 , 222 
Elgeyo Marakwet County, 87 , 84 , 60 , 36 , 37 , 35 , 24 , 139 , 41 , 121 , 27 , 44 
Embu County, 836 , 976 , 798 , 430 ," 1,018 ", 886 , 763 , 951 ," 1,131 "," 1,144 "," 1,688 "," 1,756 "
Garissa County, 45 , 277 , 66 , 81 , 35 , 54 , 77 , 139 , 63 , 125 , 55 , 63 
Homa Bay County, 346 , 254 , 192 , 216 , 283 , 252 , 181 , 354 , 715 , 476 , 287 , 511 
Isiolo County, 159 , 225 , 66 , 125 , 25 , 244 , 31 , 73 , 90 , 33 , 99 , 51 
Kajiado County," 1,959 "," 1,064 ", 912 , 670 , 799 , 688 , 580 , 454 , 534 , 591 , 539 , 339 
Kakamega County, 671 , 390 , 333 , 404 , 234 , 264 , 157 , 209 , 335 , 160 , 136 , 156 
Kericho County, 302 , 304 , 355 , 301 , 347 , 148 , 265 , 253 , 516 , 800 , 510 , 402 
Kiambu County," 3,100 "," 3,228 "," 3,116 "," 3,115 "," 2,976 "," 2,939 "," 2,955 "," 2,981 "," 3,591 "," 3,170 "," 3,515 "," 3,322 "
Kilifi County, 698 , 555 , 629 , 565 , 455 , 577 , 880 , 605 , 920 , 801 , 772 , 558 
Kirinyaga County," 1,351 "," 1,160 "," 1,415 "," 1,391 "," 1,118 "," 1,244 "," 1,290 "," 1,074 "," 1,465 "," 1,210 "," 1,107 "," 1,049 "
Kisii County, 193 , 126 , 166 , 223 , 297 , 166 , 95 , 129 , 340 , 246 , 199 , 186 
Kisumu County," 1,693 "," 1,228 ", 714 , 694 ," 2,386 "," 1,139 ", 500 , 862 , 678 , 728 , 442 ," 1,303 "
Kitui County, 326 , 447 , 374 , 319 , 171 , 197 , 122 , 100 , 686 , 489 , 738 , 526 
Kwale County, 369 , 264 , 265 , 257 , 381 , 356 , 427 , 280 , 468 , 445 , 491 , 707 
Laikipia County, 385 , 509 , 304 , 341 , 863 , 448 , 219 , 154 , 108 , 111 , 72 , 907 
Lamu County, 81 , 22 , 77 , 50 , 239 , 112 , 132 , 141 , 13 , 15 , 126 , 234 
Machakos County, 968 ," 1,428 "," 1,458 "," 2,190 "," 1,164 "," 1,225 ", 934 , 664 ," 1,011 ", 671 , 998 , 641 
Makueni County, 751 , 759 , 280 , 325 , 172 , 162 , 247 , 104 , 124 , 83 , 154 , 62 
Mandera County, 353 , 81 , 216 , 163 , 167 , 58 , 37 , 51 , 25 , 86 , 64 , 69 
Marsabit County, 21 , 69 , 18 , 43 , 21 , 7 , 32 , 415 , 16 , 10 , 117 , 25 
Meru County, 525 , 422 , 344 , 746 , 411 , 384 , 290 , 424 , 324 , 275 , 498 , 384 
Migori County, 370 , 346 , 460 , 356 , 199 , 229 , 476 , 299 , 412 , 286 , 373 , 333 
Mombasa County, 679 , 684 , 541 , 613 , 348 , 424 , 587 , 441 , 451 , 580 , 747 , 826 
Muranga County," 1,716 "," 1,651 "," 1,597 "," 1,504 "," 1,570 "," 1,338 "," 1,091 ", 774 ," 1,344 ", 967 , 840 , 935 
Nairobi County," 6,596 "," 9,022 "," 6,614 "," 5,711 "," 6,127 "," 5,877 "," 5,108 "," 3,664 "," 3,989 "," 2,881 "," 2,791 "," 2,693 "
Nakuru County," 2,068 "," 1,715 "," 1,224 "," 1,218 "," 1,111 "," 1,781 ", 878 ," 1,550 "," 2,166 "," 3,202 "," 2,454 "," 2,689 "
Nandi County, 284 , 209 , 271 , 194 , 172 , 199 , 68 , 125 , 156 , 223 , 199 , 287 
Narok County, 120 , 96 , 729 , 107 , 126 , 126 , 185 , 192 , 118 , 155 , 334 , 167 
Nyamira County, 374 , 490 , 738 , 254 , 425 , 473 , 409 , 345 , 550 , 548 , 418 , 605 
Nyandarua County, 470 , 473 , 329 , 189 , 229 , 439 ," 1,117 ", 302 , 323 ," 1,054 ", 330 , 288 
Nyeri County, 859 , 733 , 686 , 599 , 442 , 466 , 388 , 224 , 361 , 223 , 187 , 267 
Samburu County, 71 , 70 , 31 , 43 , 26 , 22 , 20 , 18 , 86 , 27 , 43 , 7 
Siaya County, 305 , 134 , 113 , 113 , 394 , 107 , 175 , 108 , 275 , 109 , 129 , 96 
Taita Taveta County, 31 , 36 , 30 , 24 , 47 , 43 , 25 , 35 , 82 , 40 , 92 , 71 
Tana River County, 133 , 75 , 75 , 117 , 170 , 48 , 159 , 363 , 98 , 17 , 42 , 291 
Tharaka Nithi County, 301 , 323 , 212 , 249 , 219 , 255 , 246 , 181 , 162 , 79 , 174 , 84 
Trans Nzoia County, 167 , 333 , 294 , 187 , 292 , 267 , 209 , 266 , 508 , 264 , 312 , 398 
Turkana County, 160 , 108 , 153 , 44 , 392 , 192 , 293 , 85 , 66 , 41 , 558 , 637 
Uasin Gishu County, 889 , 733 ," 1,139 ", 659 , 717 , 787 , 732 , 641 , 453 , 482 , 423 , 579 
Vihiga County, 62 , 179 , 312 , 218 , 433 , 221 , 142 , 270 , 263 , 306 , 194 , 225 
Wajir County, 145 , 304 , 274 , 606 , 293 , 360 , 741 , 439 , 405 , 236 , 128 , 325 
West Pokot County, 256 , 141 , 127 , 80 , 79 , 72 , 263 , 146 , 184 , 427 , 206 , 81 
