organisationunitname,date,value,product
Baringo County,2021-07-01,1691,DMPA IM
Baringo County,2021-08-01,1829,DMPA IM
Baringo County,2021-09-01,3843,DMPA IM
Baringo County,2021-10-01,2307,DMPA IM
Baringo County,2021-11-01,2438,DMPA IM
Baringo County,2021-12-01,2054,DMPA IM
Baringo County,2022-01-01,2153,DMPA IM
Baringo County,2022-02-01,1740,DMPA IM
Baringo County,2022-03-01,2009,DMPA IM
Baringo County,2022-04-01,1594,DMPA IM
Baringo County,2022-05-01,1725,DMPA IM
Baringo County,2022-06-01,1987,DMPA IM
Bomet County,2021-07-01,6323,DMPA IM
Bomet County,2021-08-01,5301,DMPA IM
Bomet County,2021-09-01,5209,DMPA IM
Bomet County,2021-10-01,9254,DMPA IM
Bomet County,2021-11-01,8433,DMPA IM
Bomet County,2021-12-01,8062,DMPA IM
Bomet County,2022-01-01,8191,DMPA IM
Bomet County,2022-02-01,7465,DMPA IM
Bomet County,2022-03-01,7858,DMPA IM
Bomet County,2022-04-01,6988,DMPA IM
Bomet County,2022-05-01,6558,DMPA IM
Bomet County,2022-06-01,6243,DMPA IM
Bungoma County,2021-07-01,6300,DMPA IM
Bungoma County,2021-08-01,10708,DMPA IM
Bungoma County,2021-09-01,7604,DMPA IM
Bungoma County,2021-10-01,8822,DMPA IM
Bungoma County,2021-11-01,12177,DMPA IM
Bungoma County,2021-12-01,10788,DMPA IM
Bungoma County,2022-01-01,12352,DMPA IM
Bungoma County,2022-02-01,10368,DMPA IM
Bungoma County,2022-03-01,9804,DMPA IM
Bungoma County,2022-04-01,6154,DMPA IM
Bungoma County,2022-05-01,7016,DMPA IM
Bungoma County,2022-06-01,11852,DMPA IM
Busia County,2021-07-01,352,DMPA IM
Busia County,2021-08-01,1040,DMPA IM
Busia County,2021-09-01,2596,DMPA IM
Busia County,2021-10-01,2399,DMPA IM
Busia County,2021-11-01,2359,DMPA IM
Busia County,2021-12-01,1846,DMPA IM
Busia County,2022-01-01,935,DMPA IM
Busia County,2022-02-01,418,DMPA IM
Busia County,2022-03-01,353,DMPA IM
Busia County,2022-04-01,422,DMPA IM
Busia County,2022-05-01,2302,DMPA IM
Busia County,2022-06-01,2470,DMPA IM
Elgeyo Marakwet County,2021-07-01,961,DMPA IM
Elgeyo Marakwet County,2021-08-01,939,DMPA IM
Elgeyo Marakwet County,2021-09-01,2019,DMPA IM
Elgeyo Marakwet County,2021-10-01,1574,DMPA IM
Elgeyo Marakwet County,2021-11-01,2309,DMPA IM
Elgeyo Marakwet County,2021-12-01,3178,DMPA IM
Elgeyo Marakwet County,2022-01-01,2683,DMPA IM
Elgeyo Marakwet County,2022-02-01,2290,DMPA IM
Elgeyo Marakwet County,2022-03-01,2626,DMPA IM
Elgeyo Marakwet County,2022-04-01,1967,DMPA IM
Elgeyo Marakwet County,2022-05-01,2193,DMPA IM
Elgeyo Marakwet County,2022-06-01,2839,DMPA IM
Embu County,2021-07-01,5050,DMPA IM
Embu County,2021-08-01,5482,DMPA IM
Embu County,2021-09-01,4774,DMPA IM
Embu County,2021-10-01,2567,DMPA IM
Embu County,2021-11-01,4775,DMPA IM
Embu County,2021-12-01,4389,DMPA IM
Embu County,2022-01-01,3753,DMPA IM
Embu County,2022-02-01,3579,DMPA IM
Embu County,2022-03-01,2591,DMPA IM
Embu County,2022-04-01,1768,DMPA IM
Embu County,2022-05-01,1595,DMPA IM
Embu County,2022-06-01,1137,DMPA IM
Garissa County,2021-07-01,778,DMPA IM
Garissa County,2021-08-01,891,DMPA IM
Garissa County,2021-09-01,746,DMPA IM
Garissa County,2021-10-01,711,DMPA IM
Garissa County,2021-11-01,752,DMPA IM
Garissa County,2021-12-01,683,DMPA IM
Garissa County,2022-01-01,815,DMPA IM
Garissa County,2022-02-01,729,DMPA IM
Garissa County,2022-03-01,643,DMPA IM
Garissa County,2022-04-01,602,DMPA IM
Garissa County,2022-05-01,714,DMPA IM
Garissa County,2022-06-01,589,DMPA IM
Homa Bay County,2021-07-01,3557,DMPA IM
Homa Bay County,2021-08-01,6828,DMPA IM
Homa Bay County,2021-09-01,5921,DMPA IM
Homa Bay County,2021-10-01,6695,DMPA IM
Homa Bay County,2021-11-01,7901,DMPA IM
Homa Bay County,2021-12-01,6506,DMPA IM
Homa Bay County,2022-01-01,6924,DMPA IM
Homa Bay County,2022-02-01,5932,DMPA IM
Homa Bay County,2022-03-01,7200,DMPA IM
Homa Bay County,2022-04-01,5936,DMPA IM
Homa Bay County,2022-05-01,4958,DMPA IM
Homa Bay County,2022-06-01,6598,DMPA IM
Isiolo County,2021-07-01,171,DMPA IM
Isiolo County,2021-08-01,124,DMPA IM
Isiolo County,2021-09-01,588,DMPA IM
Isiolo County,2021-10-01,509,DMPA IM
Isiolo County,2021-11-01,551,DMPA IM
Isiolo County,2021-12-01,582,DMPA IM
Isiolo County,2022-01-01,520,DMPA IM
Isiolo County,2022-02-01,376,DMPA IM
Isiolo County,2022-03-01,464,DMPA IM
Isiolo County,2022-04-01,235,DMPA IM
Isiolo County,2022-05-01,354,DMPA IM
Isiolo County,2022-06-01,246,DMPA IM
Kajiado County,2021-07-01,3260,DMPA IM
Kajiado County,2021-08-01,5585,DMPA IM
Kajiado County,2021-09-01,5570,DMPA IM
Kajiado County,2021-10-01,4638,DMPA IM
Kajiado County,2021-11-01,4625,DMPA IM
Kajiado County,2021-12-01,4405,DMPA IM
Kajiado County,2022-01-01,3389,DMPA IM
Kajiado County,2022-02-01,4233,DMPA IM
Kajiado County,2022-03-01,5337,DMPA IM
Kajiado County,2022-04-01,3757,DMPA IM
Kajiado County,2022-05-01,4766,DMPA IM
Kajiado County,2022-06-01,4867,DMPA IM
Kakamega County,2021-07-01,5189,DMPA IM
Kakamega County,2021-08-01,4111,DMPA IM
Kakamega County,2021-09-01,7116,DMPA IM
Kakamega County,2021-10-01,10284,DMPA IM
Kakamega County,2021-11-01,11261,DMPA IM
Kakamega County,2021-12-01,10723,DMPA IM
Kakamega County,2022-01-01,11871,DMPA IM
Kakamega County,2022-02-01,9434,DMPA IM
Kakamega County,2022-03-01,12429,DMPA IM
Kakamega County,2022-04-01,12159,DMPA IM
Kakamega County,2022-05-01,12524,DMPA IM
Kakamega County,2022-06-01,12871,DMPA IM
Kericho County,2021-07-01,3259,DMPA IM
Kericho County,2021-08-01,3299,DMPA IM
Kericho County,2021-09-01,2199,DMPA IM
Kericho County,2021-10-01,1921,DMPA IM
Kericho County,2021-11-01,1936,DMPA IM
Kericho County,2021-12-01,1564,DMPA IM
Kericho County,2022-01-01,1226,DMPA IM
Kericho County,2022-02-01,911,DMPA IM
Kericho County,2022-03-01,770,DMPA IM
Kericho County,2022-04-01,565,DMPA IM
Kericho County,2022-05-01,373,DMPA IM
Kericho County,2022-06-01,252,DMPA IM
Kiambu County,2021-07-01,6193,DMPA IM
Kiambu County,2021-08-01,5052,DMPA IM
Kiambu County,2021-09-01,7020,DMPA IM
Kiambu County,2021-10-01,6976,DMPA IM
Kiambu County,2021-11-01,6966,DMPA IM
Kiambu County,2021-12-01,6877,DMPA IM
Kiambu County,2022-01-01,6238,DMPA IM
Kiambu County,2022-02-01,5724,DMPA IM
Kiambu County,2022-03-01,7379,DMPA IM
Kiambu County,2022-04-01,7502,DMPA IM
Kiambu County,2022-05-01,8527,DMPA IM
Kiambu County,2022-06-01,9913,DMPA IM
Kilifi County,2021-07-01,8873,DMPA IM
Kilifi County,2021-08-01,9417,DMPA IM
Kilifi County,2021-09-01,10344,DMPA IM
Kilifi County,2021-10-01,9998,DMPA IM
Kilifi County,2021-11-01,10373,DMPA IM
Kilifi County,2021-12-01,10047,DMPA IM
Kilifi County,2022-01-01,9134,DMPA IM
Kilifi County,2022-02-01,7814,DMPA IM
Kilifi County,2022-03-01,6752,DMPA IM
Kilifi County,2022-04-01,4492,DMPA IM
Kilifi County,2022-05-01,6288,DMPA IM
Kilifi County,2022-06-01,9132,DMPA IM
