start_time,end_time,hhid,account_num,account_type,weight,district,urban,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco,mm_account_telco_main,v234,agent_trust,v236,v237,v238,v240,v241,v242,v243,v244,v245,v246
"Oct 28, 2019 9:05:08 AM","Oct 28, 2019 10:38:45 AM",1001,1,Mobile Money,145.94444,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no
"Oct 28, 2019 10:42:17 AM","Oct 28, 2019 11:43:25 AM",1001,2,Bank Account,145.94444,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no
"Oct 28, 2019 11:47:47 AM","Oct 28, 2019 12:53:31 PM",1001,3,VSLA Account,145.94444,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no
"Oct 28, 2019 1:02:33 PM","Oct 28, 2019 1:56:43 PM",1002,1,SACCO Account,122.90667,District_B,Rural,male,32,4,primary 3,yes,yes,no,,,,no,,yes,yes,yes,no,no,no,,no,no
"Oct 28, 2019 2:01:04 PM","Oct 28, 2019 2:58:34 PM",1002,2,VSLA Account,122.90667,District_B,Rural,male,32,4,primary 3,yes,yes,no,,,,no,,yes,yes,yes,no,no,no,,no,no
"Oct 28, 2019 3:03:31 PM","Oct 28, 2019 4:15:07 PM",1003,1,Mobile Money,760.46191,District_A,Urban,male,30,8,secondary 6,no,yes,no,Company_A,,yes,no,,no,yes,yes,yes,no,yes,yes,yes,no
"Oct 28, 2019 1:04:22 PM","Oct 28, 2019 2:48:41 PM",1003,2,Bank Account,760.46191,District_A,Urban,male,30,8,secondary 6,no,yes,no,Company_A,,yes,no,,no,yes,yes,yes,no,yes,yes,yes,no
"Oct 28, 2019 3:17:44 PM","Oct 28, 2019 4:35:00 PM",1004,1,Mobile Money,433.96402,District_A,Rural,male,68,4,primary 6,no,yes,no,Company_A,,no,no,,no,no,no,no,no,yes,,no,no
"Oct 28, 2019 12:45:34 PM","Oct 28, 2019 1:51:03 PM",1004,2,Bank Account,433.96402,District_A,Rural,male,68,4,primary 6,no,yes,no,Company_A,,no,no,,no,no,no,no,no,yes,,no,no
"Oct 28, 2019 2:04:02 PM","Oct 28, 2019 3:08:44 PM",1004,3,SACCO Account,433.96402,District_A,Rural,male,68,4,primary 6,no,yes,no,Company_A,,no,no,,no,no,no,no,no,yes,,no,no
"Oct 28, 2019 4:25:43 PM","Oct 28, 2019 5:21:08 PM",1005,1,Mobile Money,303.04395,District_C,Rural,female,28,2,primary 6,no,yes,no,Company_B,,yes,no,no,yes,yes,yes,yes,no,yes,,no,no
"Oct 28, 2019 8:51:28 AM","Oct 28, 2019 10:11:40 AM",1005,2,VSLA Account,303.04395,District_C,Rural,female,28,2,primary 6,no,yes,no,Company_B,,yes,no,no,yes,yes,yes,yes,no,yes,,no,no
"Oct 28, 2019 10:17:30 AM","Oct 28, 2019 11:27:08 AM",1006,1,VSLA Account,1053.4429,District_B,Rural,female,36,7,primary 3,no,yes,,,,,,,,,,,,,,,
"Oct 28, 2019 11:32:54 AM","Oct 28, 2019 1:06:56 PM",1007,1,VSLA Account,259.29567,District_C,Urban,female,66,7,primary 6,yes,yes,no,,,,,,no,yes,no,yes,no,no,,no,no
"Oct 28, 2019 1:13:50 PM","Oct 28, 2019 2:26:02 PM",1008,1,Mobile Money,673.10869,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes
"Oct 28, 2019 2:39:22 PM","Oct 28, 2019 3:55:08 PM",1008,2,SACCO Account,673.10869,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes
"Oct 28, 2019 4:09:33 PM","Oct 28, 2019 5:42:56 PM",1008,3,VSLA Account,673.10869,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes
"Oct 28, 2019 9:33:31 AM","Oct 28, 2019 10:45:35 AM",1009,1,VSLA Account,471.62469,District_C,Rural,female,37,5,primary 6,yes,yes,no,,,,,,yes,yes,yes,no,no,yes,,no,no
"Oct 28, 2019 10:55:07 AM","Oct 28, 2019 12:00:19 PM",1010,1,Mobile Money,289.40952,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no
"Oct 28, 2019 12:24:20 PM","Oct 28, 2019 1:08:56 PM",1010,2,Bank Account,289.40952,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no
"Oct 28, 2019 11:28:42 AM","Oct 28, 2019 12:56:39 PM",1010,3,Online Bank Account,289.40952,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no
"Oct 28, 2019 1:06:28 PM","Oct 28, 2019 2:03:33 PM",1011,1,Mobile Money,233.16049,District_A,Rural,male,25,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,yes,,yes,yes,yes,yes,no,no,,no,no
"Oct 28, 2019 2:14:12 PM","Oct 28, 2019 3:19:42 PM",1011,2,VSLA Account,233.16049,District_A,Rural,male,25,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,yes,,yes,yes,yes,yes,no,no,,no,no
"Oct 28, 2019 3:41:04 PM","Oct 28, 2019 5:00:13 PM",1012,1,None,1335.6165,District_C,Rural,female,25,6,primary 6,no,no,yes,,,,,,,,,,,,,,
"Oct 28, 2019 12:51:30 PM","Oct 28, 2019 1:49:35 PM",1013,1,Mobile Money,157.29185,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,,no,no
"Oct 28, 2019 9:34:38 AM","Oct 28, 2019 10:53:32 AM",1013,2,VSLA Account,157.29185,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,,no,no
"Oct 28, 2019 11:02:58 AM","Oct 28, 2019 12:25:12 PM",1014,1,VSLA Account,390.09477,District_C,Rural,female,32,4,primary 3,no,yes,-97,,,,,,,,,,,,,,
"Oct 28, 2019 2:26:05 PM","Oct 28, 2019 3:31:48 PM",1015,1,Mobile Money,224.36956,District_B,Rural,female,31,5,,no,yes,no,Company_A,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 9:34:55 AM","Oct 28, 2019 11:10:54 AM",1015,2,SACCO Account,224.36956,District_B,Rural,female,31,5,,no,yes,no,Company_A,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 11:12:58 AM","Oct 28, 2019 12:18:34 PM",1015,3,VSLA Account,224.36956,District_B,Rural,female,31,5,,no,yes,no,Company_A,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 12:34:00 PM","Oct 28, 2019 1:57:22 PM",1016,1,VSLA Account,301.16223,District_B,Rural,male,24,3,primary 5,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 3:19:07 PM","Oct 28, 2019 4:16:00 PM",1017,1,None,509.0963,District_A,Urban,female,20,9,other,yes,yes,yes,,,,,,no,no,no,no,no,no,no,no,yes
"Oct 28, 2019 10:46:47 AM","Oct 28, 2019 12:22:29 PM",1018,1,Mobile Money,688.5538,District_C,Rural,female,23,5,secondary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,,,,,,,,,
"Oct 28, 2019 12:30:32 PM","Oct 28, 2019 2:05:28 PM",1018,2,SACCO Account,688.5538,District_C,Rural,female,23,5,secondary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,,,,,,,,,
"Oct 28, 2019 2:25:06 PM","Oct 28, 2019 3:26:07 PM",1019,1,Mobile Money,192.6637,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no
"Oct 28, 2019 10:26:45 AM","Oct 28, 2019 11:40:35 AM",1019,2,SACCO Account,192.6637,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no
"Oct 28, 2019 11:43:51 AM","Oct 28, 2019 1:17:30 PM",1019,3,VSLA Account,192.6637,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no
"Oct 28, 2019 3:11:26 PM","Oct 28, 2019 5:09:25 PM",1020,1,None,278.15822,District_C,Rural,female,70,2,primary 1,no,,,,,,,,,,,,,,,,
"Oct 28, 2019 2:34:57 PM","Oct 28, 2019 3:55:05 PM",1021,1,Mobile Money,211.93007,District_C,Urban,female,33,6,university,no,yes,yes,Company_A Company_B,Company_B,yes,no,no,yes,yes,no,no,no,yes,,no,no
"Oct 28, 2019 4:02:48 PM","Oct 28, 2019 5:11:11 PM",1021,2,Bank Account,211.93007,District_C,Urban,female,33,6,university,no,yes,yes,Company_A Company_B,Company_B,yes,no,no,yes,yes,no,no,no,yes,,no,no
"Oct 28, 2019 5:26:26 PM","Oct 28, 2019 6:39:40 PM",1021,3,SACCO Account,211.93007,District_C,Urban,female,33,6,university,no,yes,yes,Company_A Company_B,Company_B,yes,no,no,yes,yes,no,no,no,yes,,no,no
"Oct 28, 2019 11:14:29 AM","Oct 28, 2019 12:26:38 PM",1022,1,Mobile Money,522.94434,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,no,,no,no,no,yes,no,yes,,yes,no
"Oct 28, 2019 12:32:13 PM","Oct 28, 2019 1:48:07 PM",1022,2,SACCO Account,522.94434,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,no,,no,no,no,yes,no,yes,,yes,no
"Oct 28, 2019 11:26:17 AM","Oct 28, 2019 12:55:44 PM",1022,3,VSLA Account,522.94434,District_C,Rural,male,40,5,secondary 2,no,yes,no,Company_B,,,no,,no,no,no,yes,no,yes,,yes,no
"Oct 28, 2019 1:54:17 PM","Oct 28, 2019 2:53:09 PM",1023,1,Mobile Money,216.59077,District_B,Rural,male,24,3,primary 3,no,yes,no,Company_B,,yes,,,no,yes,no,yes,no,yes,yes,yes,no
"Oct 28, 2019 1:04:59 PM","Oct 28, 2019 2:41:08 PM",1024,1,Mobile Money,210.97143,District_A,Rural,female,23,3,university,no,yes,no,Company_A,,yes,no,no,no,yes,no,yes,no,yes,,no,no
"Oct 28, 2019 3:08:43 PM","Oct 28, 2019 4:15:14 PM",1024,2,Bank Account,210.97143,District_A,Rural,female,23,3,university,no,yes,no,Company_A,,yes,no,no,no,yes,no,yes,no,yes,,no,no
"Oct 28, 2019 4:17:05 PM","Oct 28, 2019 5:23:59 PM",1025,1,None,1667.6888,District_C,Rural,female,27,5,secondary 2,yes,yes,no,,,,no,,yes,no,yes,no,no,yes,,no,no
"Oct 28, 2019 2:48:13 PM","Oct 28, 2019 4:18:16 PM",1026,1,VSLA Account,204.34289,District_A,Rural,female,21,7,primary 5,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 4:22:31 PM","Oct 28, 2019 5:31:13 PM",1027,1,Mobile Money,433.18154,District_B,Rural,female,21,4,primary 6,no,yes,no,Company_B,,no,no,,no,no,yes,no,no,no,,no,no
"Oct 28, 2019 11:17:55 AM","Oct 28, 2019 12:43:57 PM",1028,1,Mobile Money,137.839,District_A,Rural,male,24,5,primary 4,no,yes,no,Company_B,,no,no,,no,yes,no,no,no,no,,yes,no
"Oct 28, 2019 12:47:46 PM","Oct 28, 2019 2:03:07 PM",1028,2,VSLA Account,137.839,District_A,Rural,male,24,5,primary 4,no,yes,no,Company_B,,no,no,,no,yes,no,no,no,no,,yes,no
"Oct 28, 2019 2:06:17 PM","Oct 28, 2019 3:14:30 PM",1029,1,Mobile Money,108.19048,District_A,Urban,female,39,3,primary 6,no,yes,no,Company_A,,yes,no,no,yes,no,no,no,no,yes,yes,yes,no
"Oct 28, 2019 3:22:35 PM","Oct 28, 2019 4:21:18 PM",1030,1,None,3163.525,District_B,Rural,male,26,3,primary 3,no,yes,no,,,,,,,,,,,,,,
"Oct 28, 2019 11:04:19 AM","Oct 28, 2019 12:33:53 PM",1031,1,Mobile Money,216.59077,District_B,Rural,female,37,5,primary 5,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 12:42:06 PM","Oct 28, 2019 2:00:52 PM",1032,1,Mobile Money,231.95012,District_B,Rural,female,39,6,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,yes,yes,no,no,,no,no
"Oct 28, 2019 2:02:05 PM","Oct 28, 2019 3:16:21 PM",1032,2,Bank Account,231.95012,District_B,Rural,female,39,6,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,yes,yes,no,no,,no,no
"Oct 28, 2019 3:24:53 PM","Oct 28, 2019 4:26:24 PM",1032,3,VSLA Account,231.95012,District_B,Rural,female,39,6,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,yes,yes,no,no,,no,no
"Oct 28, 2019 4:33:26 PM","Oct 28, 2019 5:31:24 PM",1033,1,Mobile Money,1018.9576,District_A,Urban,female,49,7,secondary 6,no,yes,no,Company_A,,no,yes,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 11:11:12 AM","Oct 28, 2019 12:33:37 PM",1033,2,Bank Account,1018.9576,District_A,Urban,female,49,7,secondary 6,no,yes,no,Company_A,,no,yes,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 9:11:17 AM","Oct 28, 2019 10:35:27 AM",1033,3,SACCO Account,1018.9576,District_A,Urban,female,49,7,secondary 6,no,yes,no,Company_A,,no,yes,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 12:24:55 PM","Oct 28, 2019 1:40:13 PM",1033,4,VSLA Account,1018.9576,District_A,Urban,female,49,7,secondary 6,no,yes,no,Company_A,,no,yes,,no,yes,no,no,no,yes,,no,no
"Oct 28, 2019 2:24:30 PM","Oct 28, 2019 3:39:10 PM",1034,1,SACCO Account,163.97105,District_B,Rural,female,25,3,primary 1,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no
"Oct 28, 2019 3:47:28 PM","Oct 28, 2019 4:56:23 PM",1035,1,Mobile Money,573.03776,District_B,Rural,female,50,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,no,,no,no,no,no,no,no,,yes,no
"Oct 28, 2019 5:12:06 PM","Oct 28, 2019 6:15:51 PM",1035,2,VSLA Account,573.03776,District_B,Rural,female,50,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,no,,no,no,no,no,no,no,,yes,no
"Oct 28, 2019 11:09:23 AM","Oct 28, 2019 12:20:16 PM",1036,1,Mobile Money,211.1408,District_B,Rural,male,44,7,,no,yes,no,Company_A,,yes,yes,,yes,no,yes,yes,no,no,,no,no
"Oct 28, 2019 12:31:13 PM","Oct 28, 2019 1:51:40 PM",1036,2,SACCO Account,211.1408,District_B,Rural,male,44,7,,no,yes,no,Company_A,,yes,yes,,yes,no,yes,yes,no,no,,no,no
"Oct 28, 2019 1:57:55 PM","Oct 28, 2019 3:12:35 PM",1037,1,SACCO Account,662.4722,District_C,Rural,female,40,4,primary 6,no,yes,,,,,,,,,,,,,,,
"Oct 28, 2019 3:15:13 PM","Oct 28, 2019 4:23:37 PM",1037,2,VSLA Account,662.4722,District_C,Rural,female,40,4,primary 6,no,yes,,,,,,,,,,,,,,,
"Oct 28, 2019 9:04:16 AM","Oct 28, 2019 10:07:01 AM",1038,1,Mobile Money,443.20889,District_B,Rural,female,24,5,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,yes,,no,yes,no,yes,no,no,yes,no,no
"Oct 28, 2019 10:13:51 AM","Oct 28, 2019 11:23:47 AM",1038,2,Bank Account,443.20889,District_B,Rural,female,24,5,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,yes,,no,yes,no,yes,no,no,yes,no,no
"Oct 28, 2019 11:27:09 AM","Oct 28, 2019 12:34:33 PM",1038,3,VSLA Account,443.20889,District_B,Rural,female,24,5,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,yes,,no,yes,no,yes,no,no,yes,no,no
"Oct 28, 2019 12:40:59 PM","Oct 28, 2019 1:37:07 PM",1039,1,Mobile Money,192.93968,District_A,Urban,female,59,5,tvet,no,yes,yes,Company_A,,no,no,,yes,no,no,yes,no,yes,,no,no
"Oct 28, 2019 1:42:04 PM","Oct 28, 2019 2:39:26 PM",1039,2,Bank Account,192.93968,District_A,Urban,female,59,5,tvet,no,yes,yes,Company_A,,no,no,,yes,no,no,yes,no,yes,,no,no
"Oct 28, 2019 2:44:13 PM","Oct 28, 2019 3:43:00 PM",1040,1,Mobile Money,211.05185,District_B,Rural,female,28,4,primary 2,no,yes,no,Company_A Company_B,Company_B,yes,no,,no,yes,no,no,no,yes,,yes,no
"Oct 28, 2019 12:18:58 PM","Oct 28, 2019 1:47:28 PM",1040,2,VSLA Account,211.05185,District_B,Rural,female,28,4,primary 2,no,yes,no,Company_A Company_B,Company_B,yes,no,,no,yes,no,no,no,yes,,yes,no
"Oct 28, 2019 1:53:53 PM","Oct 28, 2019 3:04:05 PM",1041,1,Mobile Money,305.83673,District_C,Rural,female,58,2,primary 4,no,yes,no,Company_B,,yes,no,,no,no,no,no,no,yes,,no,no
"Oct 28, 2019 3:05:10 PM","Oct 28, 2019 4:16:23 PM",1042,1,Mobile Money,646.67991,District_C,Rural,female,26,5,primary 5,no,yes,no,Company_B,,yes,no,,yes,yes,no,no,no,no,,no,no
"Oct 28, 2019 10:17:21 AM","Oct 28, 2019 11:19:40 AM",1042,2,VSLA Account,646.67991,District_C,Rural,female,26,5,primary 5,no,yes,no,Company_B,,yes,no,,yes,yes,no,no,no,no,,no,no
"Oct 28, 2019 11:25:08 AM","Oct 28, 2019 12:38:06 PM",1043,1,Mobile Money,216.59077,District_B,Rural,male,60,4,primary 1,no,yes,no,Company_A Company_B,Company_A,yes,yes,,yes,no,yes,no,no,no,,no,no
"Oct 28, 2019 12:45:59 PM","Oct 28, 2019 1:43:19 PM",1043,2,Bank Account,216.59077,District_B,Rural,male,60,4,primary 1,no,yes,no,Company_A Company_B,Company_A,yes,yes,,yes,no,yes,no,no,no,,no,no
"Oct 28, 2019 11:46:40 AM","Oct 28, 2019 12:48:04 PM",1044,1,Mobile Money,266.7321,District_A,Rural,female,24,3,secondary 6,no,no,no,Company_A Company_B,Company_A,no,no,,yes,no,yes,yes,no,yes,yes,no,no
"Oct 28, 2019 12:56:49 PM","Oct 28, 2019 2:21:52 PM",1044,2,VSLA Account,266.7321,District_A,Rural,female,24,3,secondary 6,no,no,no,Company_A Company_B,Company_A,no,no,,yes,no,yes,yes,no,yes,yes,no,no
