"Report_ID","Service_Name","Channel","Customer_Name","State","Ticket_Open_Time","Ticket_Resp_Time","Issue_Res_Time","Fault_Type","Operator","Manager","Ticket_Close_Time","Ticket_Status","Business_Status","Response_Time","Resolve_Time","Weekdays","Hour_Of_Day"
"AXA-20201210-6072-WLESS","Wireless","USSD","FoodCo","ENUGU",2020-12-10 10:53:25,2020-12-10 10:53:30,2020-12-10 13:01:54,"Line damage","Akin","Wale",2020-12-10 17:37:43,"Completed","Closed","00:00:05","02:08:24","Thursday","10AM"
"AXA-20201231-1474-WLESS","Wireless","Social Media","FoodCo","ZAMFARA",2020-12-31 17:25:03,2020-12-31 17:31:14,2020-12-31 22:49:44,"Customers End","Akin","Wale",2021-01-01 14:39:29,"Completed","Closed","00:06:11","05:18:30","Thursday"," 5PM"
"AXA-20201206-4466-WLESS","Wireless","Email","BAGCO","DELTA",2020-12-06 10:16:41,2020-12-06 10:21:20,2020-12-06 15:58:49,"Customers End","Akin","Wale",2020-12-06 19:37:24,"Completed","Closed","00:04:39","05:37:29","Sunday","10AM"
"AXA-20201219-3279-WiFi4","WiFI - 4","Phone Call","Union","KATSINA",2020-12-19 15:17:17,2020-12-19 15:26:55,2020-12-19 18:08:25,"Line damage","Akin","Wale",2020-12-19 23:34:47,"Completed","Closed","00:09:38","02:41:30","Saturday"," 3PM"
"AXA-20201231-1420-HSE","High speed Internet","Social Media","Addide","AKWA IBOM",2020-12-31 20:13:03,2020-12-31 20:13:49,2021-01-01 00:48:55,"Customers End","Akin","Wale",2021-01-02 06:56:59,"Completed","Closed","00:00:46","04:35:06","Thursday"," 8PM"
"AXA-20201223-4170-WiFi8","WiFI - 8","Chatbot","Denna","IMO",2020-12-23 14:04:06,2020-12-23 14:09:11,2020-12-23 19:11:33,"Customers End","Akin","Wale",2020-12-24 00:46:14,"Completed","Closed","00:05:05","05:02:22","Wednesday"," 2PM"
"AXA-20201220-2264-HSE","High speed Internet","Phone Call","ROCAD","KANO",2020-12-20 13:02:32,2020-12-20 13:08:19,2020-12-20 14:15:55,"Customers End","Akin","Wale",2020-12-20 17:31:22,"Completed","Closed","00:05:47","01:07:36","Sunday"," 1PM"
"AXA-20201212-2555-WiFi9","WiFI - 9","USSD","Ultimate","FCT ABUJA",2020-12-12 09:14:36,2020-12-12 09:22:44,2020-12-12 10:59:49,"Line damage","Akin","Wale",2020-12-12 14:15:43,"Completed","Closed","00:08:08","01:37:05","Saturday"," 9AM"
"AXA-20201217-4194-HSE","High speed Internet","Chatbot","PrinceLine","EKITI",2020-12-17 09:04:12,2020-12-17 09:11:46,2020-12-17 12:32:59,"Line damage","Akin","Wale",2020-12-17 17:24:15,"Completed","Closed","00:07:34","03:21:13","Thursday"," 9AM"
"AXA-20201205-3047-WiFi10","WiFI - 10","WebForm","TwinsDeck","RIVERS",2020-12-05 15:39:22,2020-12-05 15:42:35,2020-12-05 19:28:20,"Customers End","Akin","Wale",2020-12-06 00:46:06,"Completed","Closed","00:03:13","03:45:45","Saturday"," 3PM"
