,Date,Q-P1,Q-P2,Q-P3,Q-P4,S-P1,S-P2,S-P3,S-P4
0,13-06-2010,5422,3725,576,907,17187.74,23616.5,3121.92,6466.91
1,14-06-2010,7047,779,3578,1574,22338.99,4938.86,19392.76,11222.62
2,15-06-2010,1572,2082,595,1145,4983.24,13199.88,3224.9,8163.85
3,16-06-2010,5657,2399,3140,1672,17932.69,15209.66,17018.8,11921.36
4,17-06-2010,3668,3207,2184,708,11627.56,20332.38,11837.28,5048.04
5,18-06-2010,2898,2539,311,1513,9186.66,16097.26,1685.62,10787.69
6,19-06-2010,6912,1470,1576,1608,21911.04,9319.8,8541.92,11465.04
7,20-06-2010,5209,2550,3415,842,16512.53,16167,18509.3,6003.46
8,21-06-2010,6322,852,3646,1377,20040.74,5401.68,19761.32,9818.01
9,22-06-2010,6865,414,3902,562,21762.05,2624.76,21148.84,4007.06
10,23-06-2010,1287,3955,2710,1804,4079.79,25074.7,14688.2,12862.52
11,24-06-2010,2197,1429,2754,1299,6964.49,9059.86,14926.68,9261.87
12,25-06-2010,7910,1622,5574,306,25074.7,10283.48,30211.08,2181.78
13,26-06-2010,3855,1015,1746,608,12220.35,6435.1,9463.32,4335.04
14,27-06-2010,5988,3288,916,1530,18981.96,20845.92,4964.72,10908.9
15,28-06-2010,2653,1544,3867,652,8410.01,9788.96,20959.14,4648.76
16,29-06-2010,3664,2294,3244,897,11614.88,14543.96,17582.48,6395.61
17,30-06-2010,7077,2297,5376,1130,22434.09,14562.98,29137.92,8056.9
18,01-07-2010,3509,700,1175,1205,11123.53,4438,6368.5,8591.65
19,02-07-2010,3716,3175,651,1263,11779.72,20129.5,3528.42,9005.19
20,03-07-2010,7746,2883,671,728,24554.82,18278.22,3636.82,5190.64
21,04-07-2010,7006,2833,758,1005,22209.02,17961.22,4108.36,7165.65
22,05-07-2010,5223,1923,1583,1877,16556.91,12191.82,8579.86,13383.01
23,06-07-2010,4753,3125,2787,583,15067.01,19812.5,15105.54,4156.79
24,07-07-2010,3369,752,5913,358,10679.73,4767.68,32048.46,2552.54
25,08-07-2010,6805,758,4499,1740,21571.85,4805.72,24384.58,12406.2
26,09-07-2010,7826,2872,3592,328,24808.42,18208.48,19468.64,2338.64
27,10-07-2010,7450,273,4511,505,23616.5,1730.82,24449.62,3600.65
28,11-07-2010,5868,1690,1461,391,18601.56,10714.6,7918.62,2787.83
29,12-07-2010,5273,1888,5949,1677,16715.41,11969.92,32243.58,11957.01
30,13-07-2010,1562,1851,3289,1740,4951.54,11735.34,17826.38,12406.2
31,14-07-2010,378,581,2531,446,1198.26,3683.54,13718.02,3179.98
32,15-07-2010,3180,438,1327,532,10080.6,2776.92,7192.34,3793.16
33,16-07-2010,2508,1197,1556,1946,7950.36,7588.98,8433.52,13874.98
34,17-07-2010,7257,302,4973,1686,23004.69,1914.68,26953.66,12021.18
35,18-07-2010,2527,1347,1626,1724,8010.59,8539.98,8812.92,12292.12
36,19-07-2010,2581,2489,2607,1692,8181.77,15780.26,14129.94,12063.96
37,20-07-2010,7694,2975,1278,558,24389.98,18861.5,6926.76,3978.54
38,21-07-2010,3935,2972,5299,1253,12473.95,18842.48,28720.58,8933.89
39,22-07-2010,2898,532,4664,1667,9186.66,3372.88,25278.88,11885.71
40,23-07-2010,7734,1994,2772,271,24516.78,12641.96,15024.24,1932.23
41,24-07-2010,3052,3935,4623,1653,9674.84,24947.9,25056.66,11785.89
42,25-07-2010,3041,811,1973,526,9639.97,5141.74,10693.66,3750.38
43,26-07-2010,1387,2539,1890,1073,4396.79,16097.26,10243.8,7650.49
44,27-07-2010,4536,2131,4185,470,14379.12,13510.54,22682.7,3351.1
45,28-07-2010,7659,734,3981,1121,24279.03,4653.56,21577.02,7992.73
46,29-07-2010,3144,3855,1856,1873,9966.48,24440.7,10059.52,13354.49
47,30-07-2010,6361,1773,3443,287,20164.37,11240.82,18661.06,2046.31
48,31-07-2010,2733,3985,1341,1428,8663.61,25264.9,7268.22,10181.64
49,01-08-2010,2062,3659,2194,803,6536.54,23198.06,11891.48,5725.39
50,02-08-2010,1964,908,1608,1231,6225.88,5756.72,8715.36,8777.03
51,03-08-2010,3461,3800,3193,1443,10971.37,24092,17306.06,10288.59
52,04-08-2010,2118,3793,4333,1383,6714.06,24047.62,23484.86,9860.79
53,05-08-2010,6458,3136,566,1135,20471.86,19882.24,3067.72,8092.55
54,06-08-2010,957,256,1505,1442,3033.69,1623.04,8157.1,10281.46
55,07-08-2010,3595,3855,4211,1767,11396.15,24440.7,22823.62,12598.71
56,08-08-2010,1980,1641,3747,1398,6276.6,10403.94,20308.74,9967.74
57,09-08-2010,3589,3037,4366,724,11377.13,19254.58,23663.72,5162.12
58,10-08-2010,2661,1125,2235,281,8435.37,7132.5,12113.7,2003.53
59,11-08-2010,5148,2530,5069,748,16319.16,16040.2,27473.98,5333.24
60,12-08-2010,3272,2734,4940,1137,10372.24,17333.56,26774.8,8106.81
61,13-08-2010,5704,808,891,994,18081.68,5122.72,4829.22,7087.22
62,14-08-2010,3914,2652,920,744,12407.38,16813.68,4986.4,5304.72
63,15-08-2010,3094,2510,303,504,9807.98,15913.4,1642.26,3593.52
64,16-08-2010,4180,3720,1356,781,13250.6,23584.8,7349.52,5568.53
65,17-08-2010,7024,3160,2743,1168,22266.08,20034.4,14867.06,8327.84
66,18-08-2010,5187,490,5874,1456,16442.79,3106.6,31837.08,10381.28
67,19-08-2010,570,628,4053,1402,1806.9,3981.52,21967.26,9996.26
68,20-08-2010,2497,3055,5978,1606,7915.49,19368.7,32400.76,11450.78
69,21-08-2010,419,1278,5544,489,1328.23,8102.52,30048.48,3486.57
70,22-08-2010,2592,438,3777,1568,8216.64,2776.92,20471.34,11179.84
71,23-08-2010,7712,1739,3940,1041,24447.04,11025.26,21354.8,7422.33
72,24-08-2010,1076,539,2568,668,3410.92,3417.26,13918.56,4762.84
73,25-08-2010,2668,1272,4365,1846,8457.56,8064.48,23658.3,13161.98
74,26-08-2010,1350,2211,1900,602,4279.5,14017.74,10298,4292.26
75,27-08-2010,7841,469,4670,938,24855.97,2973.46,25311.4,6687.94
76,28-08-2010,586,3052,4481,1919,1857.62,19349.68,24287.02,13682.47
77,29-08-2010,2003,741,4222,1563,6349.51,4697.94,22883.24,11144.19
78,31-08-2010,2564,2772,5371,1819,8127.88,17574.48,29110.82,12969.47
79,01-09-2010,3532,2223,5959,519,11196.44,14093.82,32297.78,3700.47
80,02-09-2010,519,2119,1349,614,1645.23,13434.46,7311.58,4377.82
81,03-09-2010,2957,1896,2583,1034,9373.69,12020.64,13999.86,7372.42
