date,steps
3/12/2022,13290
3/13/2022,9657
3/14/2022,13461
3/15/2022,3898
3/16/2022,12554
3/17/2022,16726
3/18/2022,7837
3/19/2022,4760
3/20/2022,11079
3/21/2022,11014
3/22/2022,12100
3/23/2022,16384
3/24/2022,7035
3/25/2022,5352
3/26/2022,13794
3/27/2022,9532
3/28/2022,8264
3/29/2022,6809
3/30/2022,4756
3/31/2022,8208
4/1/2022,9546
4/2/2022,8485
4/3/2022,6117
4/4/2022,10936
4/5/2022,7954
4/6/2022,6134
4/7/2022,7622
4/8/2022,7911
4/9/2022,7884
4/10/2022,8810
4/11/2022,6369
4/12/2022,8315
4/13/2022,6189
4/14/2022,3233
4/15/2022,8560
4/16/2022,13712
4/17/2022,10897
4/18/2022,9281
4/19/2022,13154
4/20/2022,7796
4/21/2022,9856
4/22/2022,12225
4/23/2022,10044
4/24/2022,12618
4/25/2022,8823
4/26/2022,20965
4/27/2022,13737
4/28/2022,16402
4/29/2022,13168
4/30/2022,8547
5/1/2022,21094
5/2/2022,6448
5/3/2022,12420
5/4/2022,8074
5/5/2022,7151
5/6/2022,6837
5/7/2022,5885
5/8/2022,15678
5/9/2022,10800
5/10/2022,8257
5/11/2022,7394
5/12/2022,12219
5/13/2022,11403
5/14/2022,11719
5/15/2022,6228
5/16/2022,16285
5/17/2022,10282
5/18/2022,15309
5/19/2022,14370
5/20/2022,13428
5/21/2022,6517
5/22/2022,8969
5/23/2022,9067
5/24/2022,12240
5/25/2022,13206
5/26/2022,11843
5/27/2022,8026
5/28/2022,13767
5/29/2022,8963
5/30/2022,3397
5/31/2022,11305
6/1/2022,20786
6/2/2022,21729
6/3/2022,43211
6/4/2022,9782
6/5/2022,2093
6/6/2022,9500
6/7/2022,21089
6/8/2022,6607
6/9/2022,6599
6/10/2022,8787
6/11/2022,7771
6/12/2022,10642
6/13/2022,1163
6/14/2022,8887
6/15/2022,1561
6/16/2022,2728
6/17/2022,9673
6/18/2022,9643
6/19/2022,15252
6/20/2022,10774
